767.66,648.68
748.84,634.76
731.6,620.13
715.48,604.08
695.89,584.62
673.94,568.46
656.46,553.85
641.22,539.32
628.47,529.06
622.03,521.78
613.14,516.37
601.54,503.12
584.13,493.62
574.02,485.74
564.73,475.03
552.62,462.68
543.58,451.42
530.22,433.19
511.54,425.89
492.79,417.93
474.45,404.02
457.4,394.6
448.52,386.29
431.79,367.38
407.79,353.89
389.27,343.49
375.16,330.33
363.39,321.64
347.7,313.29
338.83,303.08
327.7,293.84
312.53,273.38
301.19,261.77
294.24,252.88
278.94,237.61
265.03,219.2
249.42,207.09
231.53,192.53
217.55,186.74
204.49,173.25
196.37,165.59
196.45,159.55
191.74,154.84
188.52,142.48
176.62,136.55
172.81,133.93
171.24,129.09
173.86,124.53
172.23,114.3
170.95,108.58
166.11,106.68
154.78,100.22
146.46,97.35
127.92,91.988
108.05,87.134
90.795,80.536
73.499,74.551
56.804,64.958
39.096,55.253
22.629,44.654
14.991,36.501
9.6538,27.845
1,15.862
1,7.3302
1,1.3897
1,1
1,1
1,1
1,1
1,1
1,1
1,3.2713
1,5.4537
1,8.2194
1,13.679
1,16.835
1,18.073
1,15.161
1,9.6473
1,8.7153
1,6.3125
1,2.1625
1,2.0262
1,2.2462
1,2.3014
1,1.1481
0.23799,3.372
0.23112,14.534
1,16.61
1,23.832
1,22.495
1,29.775
1,31.731
1,43.341
2.5678,60.121
32.469,85.437
84.429,109.09
134.89,137.88
206.69,174.47
273.84,213.33
346.79,255.5
428.3,296.7
509.43,341.19
590.91,378.84
674.68,415.58
759.13,448.75
830.75,481.95
888.66,509.04
933.46,525
966.96,538.36
995.11,545.38
1012.9,556.97
1027.2,556.54
1044.5,562.81
1061.2,563.92
1079.6,572.44
1090.3,574.15
1092.6,583.76
1097.6,589.72
1096.6,592.17
1098.6,600.24
1102,603.62
1104.5,601.53
1105.5,599.01
1097.9,588.19
1091.7,584.36
1075.6,573.33
1044.1,553.02
1004.7,528.5
951.58,503.63
888.63,476.26
822.15,439.91
752.47,403.54
678.48,371.35
598.04,340.56
520.91,312.64
443.48,283.61
380.92,261.84
329.11,240.75
294.44,229.94
264.93,223.42
245.12,215.3
238.54,208.83
237.04,211.17
240.6,216.55
248.63,219.83
250.11,219.45
254.4,221.61
259.59,223.98
258.1,221.36
260.13,218.73
263.96,209.52
267.28,209.03
264.68,201.24
266.48,192.81
267.14,182.15
268.71,167.66
269.3,165.57
277.85,160.46
284.15,152.72
284.61,145.66
295,142.87
306.33,138.96
312.98,132.1
311.36,127.68
307.17,117.2
304.8,115.75
311.38,111.53
311.33,104.55
310.73,101.95
314.96,104.46
324.08,97.564
330.06,98.581
334.83,92.142
340.52,93.437
340.98,94.981
338.39,98.302
339.59,100.23
343.07,100.84
342.62,97.161
343.79,101.2
351.59,97.205
356.48,93.032
363.35,86.082
365.46,92.018
374.62,87.941
382.95,90.194
398.42,86.689
409.96,91.295
426.34,93.747
437.85,99.262
454.2,99.671
460.44,103.59
469.02,105.17
472.08,108.06
475.22,105.66
479.42,105.72
489.34,103.24
498.49,106.39
504.1,99.829
502.87,102.95
503.86,95.037
499.11,98.723
490.86,95.506
472.27,93.635
455.8,85.516
424.46,84.11
399.4,77.419
362.74,75.851
331.5,69.922
293.35,70.251
261.3,64.372
223.93,63.232
195.47,59.633
167.67,49.421
146.22,43.837
139.86,44.905
136.23,42.081
135.12,37.119
129.93,35.164
131.94,37.279
134.43,38.885
137.55,43.62
141.31,39.013
137.68,39.171
136.17,41.941
133.25,40.835
139.49,37.527
135.83,38.148
139.24,40.539
134.17,43.375
132.12,49.625
131.3,62.134
139.19,66.39
143.36,71.218
159.26,82.577
181.7,91.751
202.91,103.41
227.87,114.54
257.55,128.79
286.08,149.45
313.65,172.22
348.32,195.02
378.6,211.64
408.82,236.5
436.58,250.54
459.32,261.16
483.91,274.63
494.21,290.2
508.25,305.99
513.52,321.17
519.96,340.89
532.78,358.74
537.36,369.09
542.37,384.7
555.27,397.63
556.76,414.59
561.91,436.13
565.41,456.27
565.94,480.42
565.23,512.16
570.53,536.01
571.66,563.15
570.54,577.55
563.3,599.49
553.32,606.78
549.53,618.81
546.46,627.91
533.86,635.67
532.29,641.01
523.84,644.11
520.91,647.25
522.76,645.13
519.18,638.38
518.3,636.9
518.29,631.26
514.77,635.19
512.74,635.57
512.66,630.87
512.84,629.26
516.89,628.48
520.68,621.44
518.36,622
519.08,619.12
521.91,624.98
532.02,621.34
543.21,627.87
553.56,628.89
570.67,631.93
594.63,632.15
620.65,637.11
650.48,644.61
680.08,645.17
706.52,651.45
730.08,665.26
758.57,669.11
782.29,676.11
805.64,676.95
829.84,678.69
845.29,686.76
863.94,692.01
879.98,690.37
887.5,697.47
899.53,700.06
915.68,700.96
926.84,698.7
937.35,700.24
954.86,694.88
973.3,691.4
995.52,691.33
1013,695.53
1024.9,695.72
1041.2,691.86
1055.3,695.17
1071.2,695.19
1081.8,689.42
1095.7,688.2
1104.5,683.86
1114.9,681.83
1121.9,676.57
1137.5,672.25
1146.6,660.57
1156.8,654.73
1171.6,645.47
1181.7,636.54
1194.6,630.74
1209.7,623.98
1227.2,623.15
1243.8,623.97
1258.7,623.76
1272.1,621.46
1283.8,617.73
1300.2,619.36
1311.4,623.28
1321.7,627.25
1330.3,637.16
1336.3,643.08
1341.3,647.68
1354.1,651.17
1357.7,647.48
1370.7,650.4
1382.1,649.33
1388.9,644.71
1395.6,642.95
1401.2,643.99
1414,641.31
1422.9,640.58
1432.7,643.57
1447.6,643.56
1457,637.8
1469.6,641.68
1472.1,649.74
1474.7,653.05
1474.7,657.25
1476,664.42
1474.1,672.79
1464.6,669.63
1464.3,665.93
1455.3,655.27
1443.7,647.19
1433.4,639.55
1415.8,628.59
1399.8,613.68
1385.6,602.28
1370.8,590.74
1358.5,574.86
1353,565.9
1345.8,552.77
1340.1,539.88
1326.5,527.56
1319.9,520.65
1310.1,513.19
1306.4,498.36
1301,487.23
1298.5,473.27
1294,462.34
1290.9,447.2
1287.1,436.96
1274.5,425.92
1265.5,417.26
1255.5,401.92
1249.5,394.96
1245.6,383.54
1240.4,375.47
1237.9,367.33
1235.9,361.23
1230.4,354.9
1221.9,347.9
1209.3,348.44
1197.6,348.41
1195.9,342.84
1186.5,336.49
1173.1,328.73
1155.5,320.54
1143.4,318.75
1132.5,315.7
1118.4,313.23
1107.3,311.46
1091.2,306.75
1084.5,301.63
1079.9,289.62
1076.6,284.68
1068.8,273.37
1064.8,273.01
1057.1,265.82
1049.6,264.31
1038.4,267
1039,267.08
1030.7,268.86
1030.6,269.65
1028.6,265.35
1017.2,266.78
1010.6,274.21
1012.4,275.05
1010.6,276.48
1003.9,273.75
991.85,279.47
986.17,277.75
967.37,280.6
953.94,275.36
935.73,267.09
917.49,267.72
891.45,266.42
874.06,271.21
853.68,264.79
832.72,265.18
816.22,265.41
805.42,259.62
787.61,257.58
773.45,257.06
765.77,253.64
760.26,252.3
763.09,248.79
759.98,237.85
751.95,230.03
750.34,229.02
745.43,227.38
749.16,228.18
746.08,227.62
749.15,226.6
753.31,225.53
761.9,229.97
768.41,234.53
782.34,237.01
790.2,241.78
797.65,251.62
809.03,256.67
810.91,255.28
813.59,254.44
818.6,253.48
829.65,251.95
830.71,251.54
830.23,249.35
828.08,243.58
833,238.35
837.27,241.19
836.49,242.04
837.01,242.12
838.81,235.74
841.26,234.26
845.87,229.4
848.72,227.24
854.62,232.41
859.31,231.99
861.73,234.95
864.61,236.48
864.17,232.37
858,226.71
857.68,221.54
862.39,218.13
865.18,216.83
866.73,216.8
871.51,209.96
877.84,201.28
882.68,198.93
882.39,201.77
884.29,197.45
884.42,191.09
889.48,190.63
891.04,192.28
896.15,199.62
898.73,198.48
903.13,206.96
906.06,206.07
904.23,211.84
905.03,218.81
900.48,220.54
895.86,224.03
896.14,229.16
904.32,233.94
906.75,237.2
908.69,236.77
911.68,234.82
910.25,233.41
911.68,227.96
911.3,223.93
910.22,214
908.8,211.23
907.56,210.48
904.96,215.33
904.65,214.88
902.04,212.73
894.51,216.13
890.36,218.06
888.92,222.96
887.86,228.71
885.6,240.33
891.86,251.51
902.33,260.65
915.92,269.91
933.91,275.81
955.38,272.73
984.08,276.5
1015.9,270.66
1051.1,263.48
1085.3,257.75
1113.1,251.1
1145.2,252.05
1170.7,250.14
1193.8,247.37
1215.7,237.08
1233.2,234.84
1246.9,229.56
1261.1,227.82
1272.4,228.61
1271.7,231.66
1272.2,237.4
1273.3,235.19
1267,234.34
1261.6,234.7
1265,230.01
1266.4,226.78
1266,234.5
1267.1,233.03
1264.1,235.73
1259,234.44
1251.3,238.13
1254,240.66
1246.9,240.82
1248.1,238.68
1251.8,240.03
1254.7,241.97
1255.4,242.3
1256.1,248.55
1255.2,253.09
1252.6,254.24
1251.4,249.87
1246.5,246.37
1240.7,243.22
1242.5,241.07
1242.5,242.46
1243.3,240.37
1240.5,239.36
1244.5,234.97
1245.2,235.12
1243.7,235.02
1247.2,234.68
1250,232.93
1249.4,230.35
1252.4,231.29
1254.8,229.49
1259.3,228.44
1257.9,230.8
1262.7,238.83
1266.2,237.33
1264.1,235.72
1264.3,235.97
1259.7,238.06
1258.6,242.19
1262,243.43
1260.4,244.89
1262.4,242.48
1264,241.08
1274.3,244.86
1272.4,249.05
1276.9,245.72
1280.8,243.38
1283.6,239.1
1288.1,233.78
1291.5,234.92
1291.7,230.42
1295,227.27
1295.1,230.44
1292.6,233.31
1292.5,228.1
1289.5,229.7
1286.2,231.11
1279.4,229.91
1278.6,234.17
1278,234.94
1271.2,234.22
1267.3,238.19
1262.3,241.5
1265.5,244.85
1258.6,246.44
1263.4,246
1263.8,250.4
1262.6,250.56
1267.7,255.86
1265.6,262.88
1258.8,263.4
1265.6,263.95
1264.9,266.84
1266.5,262.95
1270.6,261.95
1275.7,261.45
1283.7,259.66
1290.7,251.78
1303.1,250.68
1311.3,249.57
1319.4,241.15
1332.4,240.16
1343.7,235.34
1357.8,228.91
1364.9,228.38
1373.6,233.53
1380.5,237.76
1386.5,242.96
1395.6,252.13
1393.5,252.93
1399.9,252.64
1403.6,259.03
1405.2,261.09
1409.8,263.46
1404.8,272.97
1408.7,273.87
1412.6,278.02
1414.2,274.95
1417.2,280.67
1419.1,277.17
1424.6,272.71
1428,275
1430.5,274
1428.6,273.14
1428.2,274.24
1433.3,280.07
1439.2,278.5
1443.4,277.81
1445.8,276.6
1449.5,274.16
1452.8,274.51
1455.9,274.1
1462.7,270.26
1461.6,271.59
1458.1,275.82
1454.9,277.75
1454.3,278.09
1453.2,276.31
1450.1,278.13
1449.2,277.77
1449,284.41
1443.6,292.14
1440.5,295.34
1438.5,299.7
1439.8,296.72
1438.6,298.16
1433.1,296.86
1433.6,296.49
1431.1,299.16
1431.5,299.11
1428.1,294.13
1436.5,290.92
1433.5,295.99
1429.2,299.53
1425.2,303.51
1420.2,304.17
1424.1,299.27
1422.5,296.32
1423.6,291.02
1424.9,290.5
1423.3,292.8
1414.9,295.95
1410.7,294.97
1404.3,299.1
1394.3,293.12
1379,299.51
1369.5,307.04
1363.7,313.57
1350.9,320.07
1335.1,326.89
1319.2,335.71
1310.3,347.51
1289.9,362.16
1271.8,374.8
1253.5,388.72
1235.1,395.24
1216.2,397.97
1196.6,397.96
1183.7,393.52
1170.8,394.83
1157.9,396.34
1149.5,396.71
1147.8,395
1142.4,391.38
1138,381.87
1133.6,381.17
1129.8,373.83
1126.6,372.43
1122.1,371.89
1112.9,374.09
1111.9,370.32
1109.3,371.55
1104,376.99
1101.3,385.6
1091.2,395.38
1086,400.84
1075.9,406.18
1073.6,408.63
1071.7,413.1
1071.4,419.11
1078,427.5
1081,428.23
1083.8,428.46
1086.8,424.42
1087.4,424.87
1085.5,424.42
1081.9,419.68
1081,418.8
1077.3,413.04
1077.8,411.97
1079.6,412.1
1076.8,416.08
1080.8,415.33
1079.4,421.1
1075.4,430.98
1079.7,431.56
1083.2,435.24
1085.6,441.65
1088.9,453.4
1093.7,455.57
1102.7,465.14
1106.4,468.91
1113.3,471.67
1115.6,468.66
1110.2,471.27
1104.3,468.63
1099.8,466.52
1092.1,463.18
1084.5,458.81
1084.1,456.71
1073.2,451.56
1064.4,443.26
1053.5,440.28
1042.8,441.01
1038.4,433.04
1039.2,425.92
1036.1,426.78
1032.8,427.96
1033.7,424.35
1032.3,416.28
1031.8,420.15
1030.8,420.56
1032.1,422.4
1029.6,425.69
1032.1,438.14
1035.3,442.19
1039.8,449.67
1041.3,454.88
1046.4,462.43
1047,468.17
1045.1,476.56
1049.2,485.71
1048.1,496.95
1051.9,495.18
1055.8,493.97
1057.8,495.14
1051.3,495.49
1048.6,490.04
1043.2,481.55
1039.1,476.62
1036.3,481.97
1035.4,478.85
1035.8,482.09
1030.3,481.25
1029.3,477.86
1028.9,471.85
1029.2,477.58
1027.7,477.6
1027.5,475.13
1024.2,471.64
1024.2,479.35
1024.2,478.99
1019.2,481.76
1014.4,479.18
1005.9,482.36
997.86,481.38
993.21,481.75
988.74,480.28
988.18,477.26
989.91,479.56
987.92,486.57
986.04,482.88
985.64,487.24
987.41,487.74
995.01,486.71
1001.6,490.33
1006.1,496.39
1010.7,492.96
1009.9,491.88
1011.3,493.62
1008.5,495.44
1003.2,492.16
1003.1,494.72
999.03,494.14
996.86,490.66
993.29,484.03
992.31,473.42
991.61,466.86
992.51,466.58
1001.9,469.06
996.35,474.28
988.92,472.53
976.53,477.56
955.55,480.32
932.94,480.65
903.63,480.63
877.25,483.66
848.2,477.8
808.12,472.77
776.78,472.69
745.61,467
719.01,466.02
701.25,462.24
680.13,455.87
663.4,441.54
650.67,429.91
642.42,416.27
638.68,413.34
635.08,410.97
631.52,402.48
608.14,388.45
587.09,371.14
557.26,352.83
526.08,333.07
498.15,314.27
468.63,295.09
443.56,276.25
417.31,253.51
391.08,237.21
373.81,228.76
360.42,211.07
352.12,206.07
352.18,197.38
350.5,187.79
352,183.32
364.17,178.29
367.82,181.07
379.45,189.05
386.3,192.9
389.35,193.43
395.69,187.81
402.61,180.96
409.55,176.53
411.76,174.52
416.39,169.98
418.52,160.56
420.32,156.09
423.03,151.22
426.27,146.68
426.22,142.68
428.15,133.88
425.79,132.26
420.46,126.5
411.51,124.29
411.11,121.04
407.29,120.63
401.45,121.92
399.82,124.73
397.33,122.38
399.69,115.96
399.85,112.43
395.91,108.57
394.25,110.35
390.01,107.85
391.55,110.19
383.39,109.2
380.91,116.44
381.82,117.58
375.19,124.28
369.32,124.44
359.1,130.47
347.24,132.69
337.44,135.79
333.76,141.17
328.99,150.2
320.7,157.91
320.7,159.53
318.06,165.94
315.12,168.18
312.31,170.56
305.77,174.63
304.39,169.74
303.19,164.75
302.14,163.1
301.17,166.32
304.1,162.49
308.76,158.63
312.73,155.91
307.85,155.42
311.1,150.66
313.44,148.86
317.15,147.65
314.9,153.84
319.35,155.59
316.58,161.18
317.12,161.96
318.13,168.34
312.95,171.34
304.24,176.3
296.13,180.95
287.92,183.33
284.2,184.77
282.54,184.31
278.91,190.5
283.32,194.04
285.92,197.82
282.52,195.07
281.76,198.84
276.52,200.15
277.45,204.64
274.26,202.96
272.51,205.54
270.11,203.88
265.43,200.2
254.34,205.56
245.86,205.46
238.45,205.63
230.21,204.99
220.21,210.69
216.07,213.66
214.59,215.11
213.45,217.93
214.39,216.9
208.78,220.14
203.5,224.76
195.46,233.59
194.41,230.01
190.97,237.51
184.15,240.44
176.06,242.66
166.85,240.43
164.87,245.77
155.3,247.74
140.43,254.3
132.75,262.25
128.14,264.95
126.33,269.73
120.85,274.78
118.33,280.13
117.71,283.13
115.24,285.1
114.75,291.3
112.41,293.54
107.68,293.42
99.961,296.21
101.76,293.69
103.57,290.02
103.89,293.77
102.21,293.63
102.21,296.14
106.03,293.91
109.9,292.92
113.75,294.51
120.98,302.13
128.29,306.42
136.87,304.03
144.61,304.53
150.53,307.65
157.74,310.56
160.07,311.17
160.93,315.35
160.88,319.9
159.46,323.09
157.03,328.56
155.75,333.7
157.72,338.15
154.46,354.44
156.07,367.7
152.73,383.5
152.56,390.35
149.86,397.46
144.2,410.82
144.72,424.03
142.91,435.1
140.51,441.83
144,443.78
148.75,445.29
146.13,444.91
144.49,446.51
146.72,442
141.73,440.15
142.07,435.46
143.69,440.43
145.55,440.56
150.49,439.71
153.99,442.08
153.67,446.53
160.24,453.64
160.76,455.88
165.15,462.45
168.76,477.1
171.86,491.4
177.61,502.84
180.79,513.67
182.88,518.03
189.28,524.12
193.88,529.16
191.14,536.95
194.02,547.27
199.35,549.17
198.9,552.34
202.97,560.11
197.64,566.5
195.05,569.02
194.97,568.83
190.53,572
187.17,571.82
189.64,577.35
187.33,572.03
191.63,576.98
197.64,585.27
198.24,590.77
198.76,590.38
198.33,590.86
198.39,595.07
200.53,599.89
198.17,605
195.64,611.58
197.55,613.73
199.85,617.48
200.56,622.06
199.44,627.49
191.43,629.72
191.97,629.24
193.9,626.44
190.45,623.7
191.59,620.73
193.98,618.79
191.83,610.92
196.81,610.55
202.57,614.02
203.54,611.34
209.99,612.45
217.29,620.66
218.22,622.88
221.43,623.98
222.24,628.07
223.56,631.36
224.61,636.36
223.48,646.76
218.49,648.49
208.34,654.09
193.82,658.93
181.87,657.72
165.94,658.16
149.81,662.08
131.6,669.65
113.56,670.81
94.132,671.01
76.751,670.85
60.992,673.3
46.694,673.87
37.619,675.54
27.627,676.98
21.706,670.09
27.489,673.69
36.178,673.76
49.899,676.54
73.919,675.91
111.09,669.96
153.94,659.69
210.86,658.77
277.08,652.15
349.39,648.26
425.26,646.86
501.35,642.28
572.42,633.89
643.69,622.39
711.74,611.77
772.67,597.4
828.46,590.06
873.17,579.69
907.4,570.53
925.85,560.64
942.92,550.08
949.88,548.91
954.03,541.2
953.07,535.49
956.84,528.78
965.06,519.69
965.69,516.59
965.67,518.65
970.05,514.62
966.25,516.47
964.77,511.49
960.19,508.66
958.64,511.36
959.44,513.03
964.1,516.31
967.22,519.72
969.62,519.74
967.94,521.47
965.73,523.07
963.11,524.46
960.21,525.57
957.15,526.33
954.06,526.67
951.06,526.51
948.27,525.78
945.82,524.41
943.83,522.33
