369,1,662,50
963,1,1630,50
364,51,1199,79
1,80,984,624
985,80,1895,244
985,245,1895,624
339,625,740,790
741,625,1161,790
1162,625,1599,790
339,791,805,831
1279,791,1552,831
328,832,774,1060
775,832,1200,1060
1201,832,1529,1060
