312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
312,88
317,86
422,86
530,86
633,86
742,98
942,127
1021,137
1079,144
1125,152
1144,152
1147,152
1147,152
1147,152
1147,152
1147,152
1147,150
1147,150
1147,150
1147,150
1147,150
1147,150
1147,150
1147,150
1144,150
1136,150
1086,165
1054,182
1016,196
973,223
905,270
887,287
878,294
878,296
878,296
878,296
878,296
881,296
889,294
889,294
889,294
889,294
889,294
889,294
889,294
890,293
890,292
893,290
893,289
894,287
899,281
901,278
901,277
902,277
902,277
902,277
902,277
902,277
902,277
902,277
902,277
902,277
902,277
902,277
902,276
905,276
909,272
916,271
924,271
936,271
963,271
977,271
993,271
1007,271
1026,272
1037,273
1046,277
1054,279
1071,284
1075,285
1078,287
1080,288
1082,289
1082,289
1082,289
1082,290
1082,294
1082,296
1082,302
1082,307
1073,329
1063,345
1056,359
1042,378
1015,409
1000,423
988,434
977,442
963,450
961,451
959,451
959,451
959,451
959,451
959,451
959,451
959,451
958,451
958,452
957,452
955,453
955,453
953,453
952,454
945,454
938,454
930,454
917,456
888,459
871,462
855,466
840,468
807,474
790,476
775,480
760,482
733,488
716,489
700,492
685,495
653,500
639,503
625,506
612,508
589,515
577,517
570,520
550,530
542,534
523,545
515,547
504,552
497,553
479,558
471,561
463,563
457,564
451,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
450,565
