522.57,86.49
514.28,85.979
506.71,81.604
498.44,78.706
492.36,77.352
489.02,74.245
482.99,74.407
478.15,76.712
475.09,78.879
472.66,80.904
468.6,83.871
466.79,88.857
463.11,90.907
462.12,92.532
458.14,92.504
452.4,91.624
447.74,92.945
442.87,96.385
440.15,98.577
435.22,99.655
429.17,102.73
424.1,105.86
417.62,108.14
411.58,108.68
405.19,110.84
398.17,111.22
389.45,111.53
377.34,113.3
363.73,114.94
351.56,116.3
339.96,118.48
328.14,119.74
314.31,118.81
301.06,120.91
287.46,120.35
274.04,117.46
260.17,117.64
243.94,116.1
230.85,113.59
216.37,110.65
205.58,107.86
194.34,103.07
181.43,98.845
169.51,96.704
155.69,93.083
143.03,90.295
130.91,88.466
119.77,84.207
109.44,82.795
98.971,80.281
90.571,76.097
81.982,74.55
71.938,69.798
62.9,65.702
54.469,62.031
45.546,60.457
33.95,58.148
24.81,53.508
16.118,46.644
8.0693,39.8
1.1227,33.418
1,30.546
1,23.506
1,19.648
1,19.771
1,18.176
1,19.98
1,22.314
1,25.331
1,28.929
5.8241,32.406
15.09,37.814
25.271,43.807
37.311,54.088
48.888,64.908
62.716,76.607
79.313,89.073
92.867,102.65
113.17,114.63
132.48,129.46
153.44,142.79
175.2,158.09
197.71,174.44
221.91,189.02
246.81,203.11
272.61,218.76
299.97,236.32
329.02,252.27
356.68,267.19
385.32,283.25
412.52,299.22
439.72,313.16
465.47,327.46
494.18,341.37
520.33,354.46
548.08,366.38
573.61,379.22
596.23,389.87
619.1,399.31
640.72,408.1
659.84,414.93
676.48,420.18
691.76,423.1
708.87,425
723.04,427.85
736.38,428.84
746.7,426.83
758.59,423.89
770.31,421.61
780.91,421.71
792.58,421.42
802.65,421.74
812.71,418.03
823.96,419.17
834.17,417.54
841.85,416.32
852.42,414.95
861.13,413.46
871.36,412.98
878.08,411.97
883.62,414.4
889.52,416.92
895.64,418.74
904.53,418.36
912.99,419.24
921.38,417.89
929.75,418.25
935.04,418.74
943.35,420.68
948.5,423.06
954.78,423.13
960.5,426.18
966.02,427.78
971.44,427.85
975.94,432.77
977.31,435.01
978.88,439.1
979.68,440.81
980.24,443.3
980.95,444.99
980.81,445.95
982.05,448.18
979.58,451.61
979.52,454.75
976.21,459.51
974.65,462.42
969.4,465.98
968.55,467.26
966.66,469.76
963.66,473.86
961.45,475.65
959.22,477.83
959.38,479.44
959.66,482.09
956.88,485.12
954.54,486.8
951.89,490.55
950.27,493.23
948.44,495.45
948.31,497.42
945.86,497.02
941.26,496.5
939.22,496.6
938.18,503.78
936.73,506.81
934.3,512.71
932.8,515.78
929.6,520.1
929.98,521.2
927.71,521.39
928.29,520.17
927.41,513.74
927.73,505.57
932.63,496.02
934.19,487.04
937.1,475.97
936.78,466.76
935.85,455.49
935.74,442.04
936.22,426.59
936.84,410.51
937.96,396.98
940.33,380.58
941.02,362.85
941.25,346.85
941.65,328.76
941.82,311.45
942.47,293.78
944.17,276.13
947.38,258.36
951.35,240.42
952.36,225.11
953.93,210.99
958.43,194.81
959.96,181.15
962.01,165.67
962.83,150.95
966.04,135.98
965.68,124.4
967.27,110.33
968.61,98.421
969.1,86.472
970.65,79.085
969.42,72.38
969.65,67.641
969.98,62.756
969.4,60.062
965.98,59.658
961.8,57.927
955.67,61.145
949.92,66.93
943.64,74.206
939.33,83.326
934.41,95.587
927.99,103.5
920.29,113.15
915.18,121.13
909.18,128.59
903.89,134.49
896.78,139.93
889.24,146
881.95,152.08
876.19,158.07
870.75,164.67
863.48,173.38
857.37,181.88
848.93,191.56
845.3,199.01
840.38,207.04
835.77,216.98
831.98,224.4
828,234.17
823.31,239.35
817.95,248.86
815.73,257.65
813.42,264.02
813.79,269.93
816.02,276.69
818.48,278.74
820.13,283.81
818.87,286.42
818.91,290.6
823.33,292.58
826.08,290.33
828.37,288.78
829.53,283.6
831.99,280.78
838.35,275.86
843.07,272.86
847.85,270.01
852.51,266.41
860.46,262.26
868.81,260.01
874.64,254.89
884.36,252.09
891.29,248.51
897.17,245.57
903.69,243.22
911.8,239.28
924.26,238.25
935.36,237.78
944.68,233.45
957.85,231.68
970.12,232.04
982.47,232.24
992.08,231.52
1003.7,231.57
1011.6,230.5
1019.5,231.11
1023,231.72
1026,235.91
1029.4,238.96
1030.1,241.55
1029.6,247.68
1027,253.56
1022.1,259.41
1016.9,268.44
1011.8,274.74
1003.7,282.01
994.59,287.4
986.47,294.69
973.41,301.09
961.86,307.16
951.12,315.52
940.74,320.2
928.18,325.2
917.04,332.32
905.3,337.72
892.05,342.25
882.38,349.36
871.58,352.42
862.68,356.76
855.03,358.4
846.01,360.78
836.58,364.18
828.06,365.86
823.41,369.83
820.3,372.85
819.15,376.06
819.06,380.71
821.04,381.77
823.83,385.1
826.22,387.66
830.56,390.69
839.59,393.78
845.09,395.22
853,394.61
863.26,395.35
873.18,393.63
884.81,395.1
893.91,396.53
905.18,393.92
916.33,393
923.74,392.32
930.97,393.25
936.99,393.7
942.31,395.05
943,395.5
944.27,397.61
945.05,398.81
944.68,402.24
944.76,404.47
940.68,410.56
937.3,415.3
934.47,418.69
929.52,426.3
925.62,431.9
920.79,435
916.02,440.43
909.42,447.97
903.65,453.7
894.43,458.95
889.58,464.58
882.1,471.7
875.78,476.98
870.69,483.84
866.24,489.97
860.25,495.26
852.57,502.82
848.59,509.45
840.97,515.74
836.4,522.51
834.54,529.72
831.36,539.52
829.47,546.02
829.39,551
829.96,558.03
831.25,566.35
833.39,571.02
835.11,579.92
835.89,584.94
838.32,590.2
841.7,594.31
847.18,599.88
853.86,603.77
860.41,606.32
869.59,606.49
878.91,607.32
886.7,609.05
896.48,610.15
907.23,608.49
915.9,607.68
926.93,607.94
936.6,608.47
949.1,608.45
960.05,610.03
972.27,608.18
983.32,605.98
997.01,606.57
1012.7,605.63
1025.1,606.97
1042,606.71
1056.7,606.99
1073.1,604.32
1088.3,603.41
1100.7,604.52
1116.2,603.46
1128.1,601.85
1140.9,600.99
1149.5,600.83
1158,599.03
1163.4,600.86
1167.9,602.68
1170.2,606.38
1173.6,608.34
1173.9,613.27
1172.9,618.76
1169.2,625
1164.5,631.49
1161.2,637.2
1155.9,643.74
1149.8,652.35
1143.7,661.39
1134.9,670.09
1126,676.77
1112.7,683.52
1099.6,692.64
1085.3,700.58
1071.9,706.63
1056.3,716.76
1038.2,723.43
1021.6,731.57
1005.4,741.13
988.25,749.33
971.4,756.12
952.76,761.19
932.28,767.44
911.09,775.99
890.29,783.52
870.8,788.88
852.1,794.73
832.98,800.21
816.9,803.46
798.06,807.69
782.64,814.14
768.77,817.8
755.45,819.57
740.87,822.18
730.19,826.61
